Sweep	g
474	1809.21
475	1809.21
476	1226.71
477	1226.71
478	1226.71
479	1226.71
480	1226.71
481	1226.71
482	1226.71
483	2371.39
484	2371.39
485	2371.39
486	1466.69
487	1466.69
488	1466.69
489	1818
490	1818
491	1551.46
492	1551.46
493	771.105
494	771.105
495	1870.83
496	1870.83
497	1901.78
498	1901.78
499	1901.78
500	1901.78
501	1837.15
502	1837.15
503	640.414
504	1872.37
505	971.211
506	1011.38
507	1526.79
508	1526.79
509	1526.79
510	1526.79
511	1526.79
512	1526.79
513	1526.79
514	2783.13
515	2783.13
516	1136.84
517	1136.84
518	1136.84
519	1136.84
520	1136.84
521	1721.87
522	889.497
523	889.497
524	889.497
525	2341.83
526	1440.36
527	1260.52
528	3127.03
529	1211.24
530	1211.24
531	1538.7
532	1538.7
533	3020.69
534	3020.69
535	3020.69
536	3020.69
537	3848.32
538	2012.95
539	1532.54
540	1532.54
541	1356.87
542	1689.36
543	1689.36
544	1689.36
545	750.562
546	1370.89
547	1370.89
548	1370.89
549	2004.46
550	1725.67
551	1725.67
552	4080.53
553	4080.53
554	4080.53
555	634.807
556	637.401
557	3404.06
558	3404.06
559	3404.06
560	3404.06
561	2652.87
562	1995.59
563	1995.59
564	1995.59
565	2161.13
566	2161.13
567	2839.12
568	2839.12
569	2270.18
570	2270.18
571	2080.23
572	2080.23
573	1408.29
574	1055.21
575	4228.58
576	4228.58
577	1582.11
578	1582.11
579	1228.76
580	1228.76
581	1228.76
582	1228.76
583	1228.76
584	1228.76
585	1228.76
586	1318.12
587	1318.12
588	1318.12
589	1318.12
590	1318.12
591	736.398
592	1061.67
593	1061.67
594	1061.67
595	1061.67
596	1061.67
597	1061.67
598	1061.67
599	900.514
600	828.202
601	2011.45
602	2011.45
603	1462.31
604	4167.74
605	4104.76
606	4104.76
607	4104.76
608	1497.33
609	1359.12
610	1359.12
611	1600.6
612	1492.7
613	2040.33
614	2040.33
615	2040.33
616	2040.33
617	1998
618	918.869
619	918.869
620	918.869
621	918.869
622	918.869
623	1115.87
624	988.302
625	1461.52
626	2122.2
627	2122.2
628	1312.09
629	1312.09
630	1312.09
631	1281.91
632	1281.91
633	1281.91
634	1281.91
635	1281.91
636	1281.91
637	920.114
638	696.972
639	696.972
640	696.972
641	696.972
642	696.972
643	1161.72
644	1161.72
645	1161.72
646	1198.67
647	1198.67
648	707.784
649	707.784
650	707.784
651	707.784
652	844.346
653	844.346
654	2145.67
655	2145.67
656	2145.67
657	1658.34
658	1673.81
659	3424.68
660	2554.35
661	2723.03
662	2484.34
663	844.916
664	1043.6
665	769.43
666	733.657
667	1788.94
668	1972.36
669	1972.36
670	1464.67
671	1464.67
672	1464.67
673	2741.8
674	4481.65
675	4481.65
676	1174.37
677	2652.73
678	1689.51
679	1593.44
680	1593.44
681	1125.36
682	602.495
683	602.495
684	602.495
685	602.495
686	602.495
687	1879.16
688	1879.16
689	1862.84
690	1862.84
691	1330.79
692	1232.31
693	2282.13
694	2282.13
695	2282.13
696	1092.53
697	1092.53
698	1092.53
699	2453.67
700	1188.7
701	1188.7
702	1188.7
703	1188.7
704	1331.99
705	1331.99
706	2716.02
707	3300.68
708	1381.36
709	1173.07
710	2779.29
711	2779.29
712	2779.29
713	2779.29
714	2779.29
715	2779.29
716	2824.85
717	2824.85
718	1717.82
719	1717.82
720	2016.5
721	751.482
722	751.482
723	751.482
724	751.482
725	751.482
726	751.482
727	751.482
728	751.482
729	786.404
730	1196.61
731	1157.51
732	1157.51
733	995.327
734	1295.55
735	1295.55
736	1295.55
737	1295.55
738	1295.55
739	1295.55
740	904.447
741	904.447
742	1299.27
743	1299.27
744	1200.97
745	3278.99
746	1520.79
747	1237.61
748	1237.61
749	1237.61
750	1237.61
751	3594.67
752	3594.67
753	861.868
754	759.751
755	759.751
756	759.751
757	2211.88
758	2264.71
759	2264.71
760	2264.71
761	1900.71
762	1900.71
763	2956.46
764	2935.96
765	2935.96
766	863.7
767	2622.16
768	1611.82
769	1116.92
770	1116.92
771	1116.92
772	1116.92
773	1116.92
774	1116.92
775	1116.92
776	2187.97
777	2187.97
778	2187.97
779	2807
780	2807
781	2807
782	886.626
783	886.626
784	886.626
785	886.626
786	926.084
787	1162.52
788	883.402
789	701.311
790	701.311
791	924.869
792	1260.76
793	1260.76
794	1260.76
795	1260.76
796	1165.98
797	1425.39
798	1128.1
799	1128.1
800	1128.1
801	1433.93
802	2066.07
803	1700.07
804	1700.07
805	1700.07
806	4548.55
807	3347.39
808	3347.39
809	3347.39
810	3347.39
811	2452.41
812	1619.98
813	2117.23
814	3089.31
815	5421.49
816	5421.49
817	2917.1
818	2391.77
819	2455.28
820	2455.28
821	2455.28
822	2455.28
823	2455.28
824	2455.28
825	2455.28
826	1031.33
827	1031.33
828	1031.33
829	1252.29
830	1252.29
831	2373.34
832	1072.83
833	1072.83
834	1072.83
835	1072.83
836	1072.83
837	1467.11
838	1467.11
839	706.193
840	2294.21
841	2628.54
842	1660.72
843	1660.72
844	1660.72
845	1660.72
846	1660.72
847	1660.72
848	1424.03
849	1601.56
850	1680.09
851	1680.09
852	1680.09
853	1680.09
854	1680.09
855	1680.09
856	1680.09
857	1680.09
858	1680.09
859	1680.09
860	1680.09
861	2373.19
862	948.053
863	948.053
864	948.053
865	948.053
866	948.053
867	948.053
868	948.053
869	948.053
870	1981.09
871	1981.09
872	1981.09
873	1981.09
874	1981.09
875	780.552
876	764.93
877	764.93
878	1576.06
879	3529.78
880	3529.78
881	3529.78
882	3139.03
883	3139.03
884	1426.81
885	1905.99
886	1905.99
887	1919.47
888	2248.74
889	1260.04
890	1260.04
891	1260.04
892	946.503
893	946.503
894	946.503
895	946.503
896	639.423
897	2540.17
898	2007.87
899	2007.87
900	1691.34
901	1691.34
902	1691.34
903	802.434
904	802.434
905	1104.27
906	1104.27
907	1104.27
908	1104.27
909	1104.27
910	1104.27
911	1104.27
912	1104.27
913	862.457
914	862.457
915	2234.69
916	2234.69
917	2234.69
918	2234.69
919	2234.69
920	4029.4
921	4029.4
922	4029.4
923	4029.4
924	2976.63
925	2976.63
926	815.099
927	815.099
928	815.099
929	815.099
930	815.099
931	815.099
932	938.461
933	938.461
934	726.031
935	1061.79
936	1061.79
937	1061.79
938	821.491
939	821.491
940	2012.14
941	821.217
942	1506.84
943	1506.84
944	4824.9
945	1420.2
946	1420.2
947	1420.2
948	1420.2
949	1420.2
950	1309.21
951	893.189
952	893.189
953	893.189
954	2196.86
955	2027.78
956	2027.78
957	2027.78
958	2565.1
959	2565.1
960	3192.02
961	3192.02
962	2281.64
963	2281.64
964	2281.64
965	1593.2
966	1110.48
967	1110.48
968	1297.74
969	1297.74
970	1029.99
971	1029.99
972	1029.99
973	693.788
974	2189.22
975	1276.9
976	1602.4
977	1602.4
978	1756.78
979	1756.78
980	752.129
981	752.129
982	752.129
983	752.129
984	1930
985	1009.86
986	1009.86
987	1744.76
988	1744.76
989	1744.76
990	4814.45
991	4814.45
992	2888.95
993	2888.95
994	2888.95
995	2834.3
996	2737.61
997	1787.62
998	2105.07
999	879.465
1000	818.456
1001	818.456
1002	818.456
1003	966.98
1004	791.77
1005	791.77
1006	1077.45
1007	1077.45
1008	1077.45
1009	1077.45
1010	1077.45
1011	762.305
1012	762.305
1013	762.305
1014	762.305
1015	1007.56
1016	1025.34
1017	974.261
1018	974.261
1019	1012.69
1020	1012.69
1021	1036.76
1022	1036.76
1023	1036.76
1024	1036.76
1025	1036.76
1026	1036.76
1027	811.165
1028	1892.73
1029	1892.73
1030	1892.73
1031	1032.79
1032	1032.79
1033	1086.53
1034	1086.53
1035	1086.53
1036	1086.53
1037	1086.53
1038	1217.92
1039	1217.92
1040	1217.92
1041	1217.92
1042	1670.74
