Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
810	2	2	1	2
812	3	2	3	1
813	3	6	3	1
815	1	1	1	3
821	2	2	1	3
822	2	2	2	1
824	1	1	1	3
827	3	7	1	2
832	2	2	2	1
842	1	1	2	1
846	2	2	1	2
850	1	1	1	3
851	2	2	2	1
852	3	1	1	3
853	2	2	2	1
854	2	2	2	3
857	1	1	2	1
863	2	2	1	2
864	2	2	1	2
865	2	2	1	2
866	1	1	1	2
881	3	1	2	1
887	1	1	1	2
895	2	2	1	2
898	1	1	2	1
900	3	3	2	1
903	2	2	1	2
906	1	1	1	2
909	2	2	1	3
911	2	2	3	1
913	1	1	3	1
918	1	1	1	2
919	3	3	2	1
920	1	1	1	2
927	1	1	1	2
930	2	2	3	2
934	1	1	1	2
936	3	7	2	1
939	2	2	1	2
940	2	2	1	2
943	1	1	2	1
944	1	1	2	3
951	3	2	1	2
957	1	1	1	3
959	2	2	3	1
963	1	1	2	1
964	2	2	2	1
966	3	3	1	2
968	1	1	1	2
974	1	1	1	2
977	1	1	2	1
981	2	2	2	1
986	2	2	1	3
988	1	1	2	1
989	1	1	2	3
991	1	1	1	3
992	2	2	2	1
993	1	1	1	3
994	1	1	1	3
995	1	1	1	2
997	2	2	1	3
1001	1	1	1	2
1003	1	1	2	1
1004	3	2	1	2
1006	3	2	2	1
1007	1	1	1	2
1015	2	2	2	1
1018	2	2	2	1
1020	2	2	1	2
1023	3	1	1	2
1025	1	1	1	2
1029	1	1	2	1
1030	3	2	2	1
1035	3	3	1	2
1037	1	1	2	1
1038	2	2	1	2
1042	2	2	2	1
1043	1	1	2	1
1044	3	6	1	2
1047	2	2	1	2
1052	3	2	1	2
1057	2	2	1	2
1058	3	7	1	2
1070	2	2	2	1
1072	2	2	1	3
1073	1	1	2	1
1076	2	2	1	2
1077	1	1	1	2
1078	1	1	1	2
1084	2	2	1	3
1087	3	2	1	2
1088	1	1	1	2
1089	1	1	1	2
1091	1	1	3	1
1093	2	2	2	1
1097	3	3	2	1
1098	1	1	2	1
1099	3	3	1	2
1110	3	3	2	1
1111	3	3	1	2
1112	3	3	1	2
1123	2	2	1	3
1130	3	6	2	1
1134	2	2	2	1
1136	3	1	3	2
1141	2	2	1	2
1148	1	1	1	2
1149	2	2	2	1
1152	2	2	1	2
1159	3	2	1	2
1160	2	2	1	3
1164	2	2	2	1
1166	3	7	1	2
1168	2	2	2	1
1176	3	7	2	1
1177	2	2	3	2
1181	1	1	1	2
1182	1	1	1	3
1183	3	7	1	2
1184	1	1	1	2
1188	1	1	2	1
1190	1	1	2	1
1192	1	1	1	2
1202	1	1	2	1
1204	1	1	1	2
1205	2	2	1	2
1206	2	2	1	3
1207	2	2	1	2
1210	2	2	1	3
1212	3	2	1	3
1213	3	3	1	2
1217	2	2	1	3
1228	3	7	1	2
1235	2	2	1	2
1236	3	7	1	2
1240	3	7	1	2
1242	3	7	2	1
1243	3	2	2	1
1244	1	1	2	1
1249	2	2	1	2
1251	3	3	3	1
1258	2	2	1	2
1265	2	2	1	2
1266	3	6	1	3
1267	1	1	1	2
1272	1	1	2	1
1274	1	1	1	2
1275	1	1	3	1
1276	3	7	1	2
1278	1	1	1	2
1280	2	2	2	1
1281	1	1	2	1
1282	2	2	2	1
1290	2	2	1	3
1291	2	2	2	1
1295	3	2	1	2
1298	3	4	1	2
1300	1	1	1	2
1306	3	7	1	2
1309	3	7	2	1
1310	1	1	2	1
1311	3	7	2	1
1312	2	2	1	2
1314	3	3	1	3
1318	1	1	1	3
1327	1	1	1	3
1328	1	1	1	2
1331	1	1	2	1
1333	3	1	2	1
1334	1	1	1	2
1335	3	1	2	1
1337	1	1	2	1
1338	3	3	1	2
1339	3	7	1	3
1343	3	7	1	3
1347	2	2	1	2
1348	1	1	2	1
1352	3	2	3	1
1354	2	2	1	2
1355	3	2	2	1
1356	1	1	1	2
1357	1	1	1	2
1365	3	3	1	2
1367	2	2	1	2
1369	3	2	2	1
1370	3	2	1	2
1374	3	7	2	1
1378	3	7	1	3
1381	1	1	2	1
1382	2	2	1	2
1389	1	1	1	2
1394	3	2	1	2
1404	2	2	2	1
1407	3	7	1	2
1413	2	2	1	2
1414	3	7	1	2
1422	2	2	1	3
1427	3	1	1	3
1432	2	2	1	3
1434	2	2	2	3
1436	1	1	2	1
1437	1	1	2	1
1442	3	3	1	2
1445	3	2	1	2
1450	2	2	2	1
1453	3	2	1	3
1455	2	2	1	3
1462	3	3	2	1
1465	1	1	3	1
1468	1	1	1	2
1478	2	2	1	3
1479	2	2	1	2
1483	1	1	3	1
1489	1	1	2	1
1490	1	1	1	2
1491	2	2	1	2
1501	2	2	1	2
1504	2	2	2	1
1505	3	7	2	1
1513	3	2	1	2
1517	3	4	1	2
1519	3	4	2	1
1520	1	1	2	1
1524	3	3	1	2
1526	1	1	2	1
1527	3	2	1	2
1528	1	1	1	2
1530	1	1	2	1
1531	2	2	1	2
1534	2	2	2	1
1535	1	1	2	1
1536	2	2	1	2
1539	2	2	3	1
1540	3	4	3	2
1543	1	1	3	1
1552	3	6	2	1
1554	2	2	1	3
1556	2	2	1	2
1557	2	2	1	2
1559	2	2	1	2
1566	1	1	1	2
1568	1	1	1	3
1570	1	1	1	3
1576	2	2	1	2
1577	1	1	1	2
1578	3	2	1	2
1595	3	7	2	1
1596	3	4	1	2
1597	2	2	1	2
1598	3	3	2	1
1602	1	1	1	2
1603	1	1	1	2
1607	1	1	2	1
1612	1	1	2	1
1613	1	1	2	1
1616	2	2	2	3
1618	1	1	1	2
1622	3	8	1	2
1623	3	3	1	2
1642	1	1	1	2
1643	1	1	1	2
1650	1	1	1	3
1652	2	2	1	2
1663	2	2	1	2
1664	2	2	1	2
1665	1	1	1	2
1668	2	2	1	2
1675	3	3	1	2
1682	3	3	1	2
1683	2	2	2	1
1686	1	1	3	2
1690	2	2	1	2
1691	1	1	1	2
1692	3	2	1	2
1693	1	1	1	2
1697	3	7	2	1
1698	2	2	2	1
1701	3	7	2	1
1705	3	7	3	1
1713	2	2	3	1
1720	2	2	2	1
1721	3	8	2	1
1723	3	2	2	1
1725	3	7	2	1
1726	1	1	2	1
1727	1	1	2	1
1729	1	1	1	2
1730	2	2	2	1
1731	3	3	2	1
1733	3	7	3	1
1734	3	8	1	3
1739	1	1	2	1
1740	2	2	1	2
1741	2	2	1	2
1751	2	2	1	2
1752	3	1	1	2
1753	1	1	2	1
1754	3	4	2	1
1755	3	7	1	2
1757	2	2	1	2
1759	1	1	2	1
1765	2	2	3	1
1766	3	7	3	1
1769	2	2	1	3
1770	2	2	3	1
1774	2	2	1	2
1775	1	1	2	1
1776	3	2	1	2
1777	1	1	1	2
1785	1	1	1	2
1789	1	1	2	1
1790	1	1	1	2
1795	2	2	1	2
1801	1	1	1	2
1804	1	1	1	2
1807	1	1	2	1
1808	1	1	1	3
1816	1	1	2	1
1821	3	3	1	2
1822	1	1	1	2
1825	2	2	2	1
1826	2	2	1	2
1827	3	1	1	2
1829	3	7	2	1
1830	2	2	2	1
1831	1	1	1	2
1833	2	2	2	1
1835	2	2	3	1
1836	3	2	2	1
1837	1	1	3	2
1841	1	1	1	2
1848	2	2	1	2
1854	1	1	1	2
1857	3	4	1	2
1858	3	2	1	2
1861	2	2	1	2
1871	1	1	2	1
1877	2	2	1	3
1880	3	2	1	3
1889	2	2	1	2
1895	2	2	1	2
1898	1	1	1	2
1899	1	1	1	2
1900	1	1	1	2
1901	1	1	1	2
1902	3	7	2	1
1903	3	3	1	2
1904	2	2	2	1
1917	1	1	1	3
1921	3	7	1	2
1923	1	1	2	1
1924	2	2	2	1
1929	1	1	1	2
1931	1	1	1	2
1932	1	1	1	2
1935	3	6	1	2
1936	2	2	1	3
1939	1	1	2	1
1946	2	2	1	2
1957	3	2	1	2
1962	3	7	1	2
1968	1	1	1	2
1969	2	2	1	2
1972	2	2	2	1
1975	2	2	1	2
1979	1	1	1	3
1987	1	1	1	2
1996	2	2	1	2
2001	3	2	1	3
2010	1	1	1	2
2011	2	2	1	2
2014	1	1	1	3
2022	1	1	2	1
2023	3	7	2	1
2024	2	2	1	2
2026	3	7	1	2
2028	2	2	2	1
2029	3	7	3	1
2033	2	2	1	2
2036	1	1	1	2
2039	2	2	1	2
2042	3	2	2	1
2043	1	1	2	1
2047	1	1	2	1
2048	3	4	2	1
2051	2	2	1	2
2054	2	2	1	2
2056	2	2	2	1
2059	3	3	1	2
2060	3	2	1	2
2064	1	1	1	3
2068	2	2	1	2
2069	2	2	1	3
2070	3	2	1	3
2071	1	1	3	1
2076	2	2	1	2
2078	1	1	1	2
2079	3	3	1	2
2083	1	1	1	2
2085	1	1	1	2
2087	3	7	1	2
2095	3	6	1	2
2097	2	2	1	2
2102	1	1	1	2
2103	1	1	1	2
2107	2	2	1	2
2108	3	4	1	2
2118	3	3	1	2
2121	1	1	1	2
2122	1	1	1	2
2124	3	7	3	1
2132	3	2	2	1
2138	1	1	1	2
2139	2	2	1	2
2140	3	3	1	2
2142	1	1	3	1
2153	3	2	1	3
2155	2	2	1	3
2159	2	2	1	2
2163	1	1	2	3
2171	3	4	3	1
2173	3	2	3	1
2174	2	2	1	2
2178	2	2	2	1
2182	2	2	2	1
2185	3	4	1	2
2186	3	3	1	2
2192	2	2	1	2
2195	2	2	1	2
2197	2	2	1	2
2199	2	2	1	2
2201	3	3	1	2
2202	3	1	1	2
2205	3	4	1	2
2207	1	1	2	1
2208	2	2	1	2
2209	2	2	2	1
2211	1	1	2	1
2213	3	3	2	1
2214	2	2	2	1
2218	2	2	1	2
2220	1	1	1	2
2224	2	2	1	2
2225	1	1	3	1
2226	3	7	2	1
2233	3	3	2	1
2234	1	1	2	1
2237	1	1	1	2
2238	3	4	1	2
2239	1	1	1	2
2244	1	1	1	2
2246	1	1	3	1
2252	3	2	1	2
2256	1	1	1	3
2264	1	1	1	2
2265	1	1	1	3
2267	3	2	1	2
2269	3	3	1	2
2272	3	2	1	2
2274	1	1	1	2
2275	1	1	1	2
2277	1	1	2	1
2279	1	1	2	1
2280	3	3	2	1
2284	2	2	2	3
2293	1	1	1	2
2294	2	2	2	1
2295	1	1	2	3
2296	2	2	3	2
2297	1	1	3	2
2298	1	1	1	3
2299	3	7	2	3
2304	3	2	1	2
2308	3	7	2	1
2310	1	1	1	3
2315	2	2	2	1
2316	1	1	1	2
2318	3	4	2	1
2327	1	1	3	2
2329	1	1	3	1
2336	1	1	2	1
2338	1	1	1	2
2339	1	1	1	2
2345	1	1	1	3
2350	2	2	1	2
2351	1	1	1	2
2352	3	3	1	2
2353	2	2	1	3
2356	1	1	1	2
2363	1	1	1	2
2373	2	2	2	1
2374	3	3	3	1
2375	1	1	1	2
2376	2	2	1	2
2378	3	7	2	1
2385	2	2	2	3
2386	3	2	1	3
2393	3	4	2	1
2403	3	4	1	2
2404	2	2	2	1
2405	3	2	2	1
2408	2	2	1	2
2411	2	2	1	2
2425	1	1	2	1
2431	3	6	1	3
2443	1	1	2	1
2444	3	4	1	2
2445	3	4	2	1
2446	1	1	2	3
2448	1	1	1	2
2451	2	2	1	2
2452	2	2	1	2
2453	2	2	1	2
2454	3	3	1	3
2455	3	3	3	1
2459	3	3	1	3
2460	3	7	1	3
2462	1	1	1	2
2463	3	7	2	1
2468	1	1	1	2
2469	3	7	1	2
2477	1	1	1	2
2479	2	2	3	1
2482	2	2	2	1
2484	2	2	2	1
2485	3	2	1	2
2488	2	2	2	1
2489	1	1	2	1
2495	3	7	1	2
2500	3	4	1	2
2501	1	1	1	2
2502	3	4	1	2
2506	3	3	1	2
2514	3	2	1	2
2534	3	3	1	3
2537	1	1	1	2
2538	3	2	1	2
2539	2	2	1	2
2541	3	2	2	1
2542	1	1	2	1
2543	1	1	2	1
2553	2	2	1	3
2557	1	1	1	2
2564	2	2	1	3
2574	1	1	2	1
2575	3	3	1	2
2577	3	7	2	1
2578	2	2	2	1
2579	1	1	2	1
2582	2	2	1	2
2593	2	2	1	2
2596	2	2	1	2
2599	3	7	1	3
2600	3	3	1	2
2602	1	1	2	1
