Sweep	g
410	1065.08
411	1065.08
412	1065.08
413	1065.08
414	1065.08
415	1902.14
416	1902.14
417	1902.14
418	2123.63
419	2123.63
420	2584.3
421	878.977
422	730.038
423	916.101
424	916.101
425	583.313
426	583.313
427	1698.43
428	1698.43
429	637.239
430	637.239
431	637.239
432	1347.29
433	1347.29
434	1347.29
435	1347.29
436	1347.29
437	2240.73
438	1526.13
439	1526.13
440	1526.13
441	1526.13
442	1526.13
443	852.355
444	852.355
445	5218.11
446	5218.11
447	5218.11
448	5218.11
449	5218.11
450	1846.14
451	1645.5
452	3975.73
453	1889.17
454	1889.17
455	1889.17
456	1886.44
457	1886.44
458	857.504
459	2489.32
460	1600.06
461	1274.84
462	1254.68
463	1254.68
464	1254.68
465	1321.56
466	1321.56
467	1321.56
468	1321.56
469	1321.56
470	1321.56
471	1321.56
472	1321.56
473	2690.72
474	2690.72
475	3574.22
476	1088.35
477	1207.74
478	1207.74
479	1207.74
480	1207.74
481	1207.74
482	1425.25
483	1238.64
484	1432.31
485	1150.58
486	1150.58
487	1956.77
488	1956.77
489	1826.77
490	1755.76
491	639.601
492	2219
493	2219
494	946.999
495	946.999
496	946.999
497	946.999
498	1064.84
499	1064.84
500	1270.89
501	1079.51
502	1901.44
503	2449.65
504	765.092
505	2014.22
506	2014.22
507	1422.11
508	1422.11
509	1422.11
510	1422.11
511	1422.11
512	1422.11
513	3135.1
514	3135.1
515	1646.4
516	1646.4
517	1646.4
518	1646.4
519	1646.4
520	1789.18
521	1747.44
522	1747.44
523	1747.44
524	892.955
525	892.955
526	956.392
527	1334.61
528	2135.81
529	2425.31
530	2425.31
531	2425.31
532	651.608
533	651.608
534	651.608
535	651.608
536	651.608
537	651.608
538	651.608
539	468.863
540	468.863
541	468.863
542	743.26
543	743.26
544	743.26
545	722.726
546	722.726
547	2806.29
548	2513.01
549	3794.5
550	3842.93
551	3842.93
552	3044.62
553	1261.87
554	1384.53
555	1384.53
556	1437.32
557	1437.32
558	1437.32
559	1437.32
560	1437.32
561	1214.24
562	1214.24
563	1214.24
564	1214.24
565	1214.24
566	1214.24
567	1214.24
568	1076.98
569	1076.98
570	1076.98
571	1076.98
572	1076.98
573	1405.17
