Sweep	Model_size	log_marg	log_cond_post	Model
18601	2	-21920.65370671	-21946.08932585	2 9 
18602	2	-21920.97953539	-21946.35610489	2 9 
18603	2	-21920.86359761	-21946.2404748	2 9 
18604	2	-21920.36603731	-21946.03426408	2 9 
18605	2	-21920.36603731	-21946.03426408	2 9 
18606	2	-21920.36603731	-21946.03426408	2 9 
18607	2	-21920.36603731	-21946.03426408	2 9 
18608	3	-21923.4065057	-21950.61517752	2 9 13 
18609	2	-21920.36603731	-21946.03426408	2 9 
18610	2	-21920.36603731	-21946.03426408	2 9 
18611	2	-21920.70890711	-21946.37713389	1 9 
18612	4	-21928.23404794	-21956.79264647	4 9 10 11 
18613	2	-21922.28883959	-21947.95706637	4 9 
18614	2	-21923.11496335	-21948.53978728	4 9 
18615	2	-21923.11496335	-21948.53978728	4 9 
18616	2	-21923.11496335	-21948.53978728	4 9 
18617	2	-21923.05384394	-21948.45885453	4 9 
18618	2	-21923.19185912	-21948.647746	4 9 
18619	2	-21923.19185912	-21948.647746	4 9 
18620	1	-21923.92927302	-21947.62730198	9 
18621	2	-21921.37171745	-21946.87948636	2 9 
18622	2	-21921.01264741	-21946.39282087	2 9 
18623	2	-21920.73109017	-21946.13553933	2 9 
18624	2	-21920.73109017	-21946.13553933	2 9 
18625	3	-21924.13606586	-21951.08096006	1 2 9 
18626	3	-21924.13606586	-21951.08096006	1 2 9 
18627	3	-21924.08578086	-21951.04266168	1 2 9 
18628	3	-21923.40575447	-21950.32118982	1 9 14 
18629	2	-21921.23243417	-21946.60742448	1 9 
18630	2	-21921.22150393	-21946.59716036	1 9 
18631	2	-21921.22150393	-21946.59716036	1 9 
18632	2	-21922.43047584	-21948.5294447	1 9 
18633	2	-21922.32837485	-21948.32358334	1 9 
18634	2	-21922.32837485	-21948.32358334	1 9 
18635	2	-21922.32837485	-21948.32358334	1 9 
18636	2	-21921.88213719	-21947.49507143	1 9 
18637	2	-21920.49028514	-21946.48768732	1 9 
18638	2	-21921.50669652	-21946.92203389	1 9 
18639	2	-21923.34761394	-21948.88536079	4 9 
18640	2	-21923.33985395	-21948.87296719	4 9 
18641	2	-21921.49180931	-21949.31666548	4 9 
18642	2	-21921.49180931	-21949.31666548	4 9 
18643	2	-21919.91367644	-21947.73853261	1 9 
18644	2	-21920.82915193	-21946.37577384	1 9 
18645	2	-21920.82915193	-21946.37577384	1 9 
18646	2	-21920.82915193	-21946.37577384	1 9 
18647	2	-21922.40924686	-21947.95586877	4 9 
18648	2	-21922.40924686	-21947.95586877	4 9 
18649	2	-21920.82915193	-21946.37577384	1 9 
18650	2	-21920.82915193	-21946.37577384	1 9 
18651	2	-21920.81328946	-21946.37381291	1 9 
18652	2	-21920.81328946	-21946.37381291	1 9 
18653	2	-21920.81328946	-21946.37381291	1 9 
18654	2	-21920.81328946	-21946.37381291	1 9 
18655	3	-21925.85839955	-21952.79295751	4 9 15 
18656	2	-21922.19012565	-21947.98808017	4 9 
18657	2	-21922.19012565	-21947.98808017	4 9 
18658	2	-21920.61034247	-21946.40829698	1 9 
18659	2	-21920.90528409	-21946.39361435	1 9 
18660	2	-21920.90528409	-21946.39361435	1 9 
18661	3	-21922.43040848	-21949.45918379	2 3 9 
18662	2	-21920.56235886	-21946.05068913	2 9 
18663	3	-21922.89952952	-21950.06687675	2 9 15 
18664	4	-21926.00236892	-21954.51964287	1 2 9 10 
18665	2	-21920.74574458	-21946.37264677	1 9 
18666	2	-21920.74574458	-21946.37264677	1 9 
18667	2	-21920.74574458	-21946.37264677	1 9 
18668	3	-21923.76129173	-21950.92863897	1 9 13 
18669	2	-21921.24623394	-21946.6206554	1 9 
18670	2	-21921.24623394	-21946.6206554	1 9 
18671	2	-21921.24623394	-21946.6206554	1 9 
18672	2	-21920.66851712	-21946.38643495	1 9 
18673	3	-21923.34546563	-21950.6038285	2 9 13 
18674	2	-21920.94150996	-21946.31590863	2 9 
18675	2	-21920.94150996	-21946.31590863	2 9 
18676	3	-21923.48417954	-21950.39902325	1 9 14 
18677	2	-21920.94150996	-21946.31590863	2 9 
18678	2	-21920.18550471	-21946.11447223	2 9 
18679	2	-21920.18550471	-21946.11447223	2 9 
18680	2	-21919.88640057	-21946.5064437	2 9 
18681	2	-21919.88640057	-21946.5064437	2 9 
18682	2	-21920.46448155	-21946.03034381	2 9 
18683	2	-21920.46448155	-21946.03034381	2 9 
18684	2	-21922.68907558	-21948.08330416	4 9 
18685	2	-21922.68907558	-21948.08330416	4 9 
18686	2	-21922.68907558	-21948.08330416	4 9 
18687	2	-21922.68907558	-21948.08330416	4 9 
18688	2	-21922.68907558	-21948.08330416	4 9 
18689	2	-21922.68907558	-21948.08330416	4 9 
18690	1	-21923.67963698	-21947.31600764	9 
18691	1	-21923.14076783	-21948.75793302	9 
18692	2	-21919.78011104	-21946.74285402	2 9 
18693	2	-21919.78011104	-21946.74285402	2 9 
18694	2	-21919.78011104	-21946.74285402	2 9 
18695	2	-21919.70821584	-21946.93740823	2 9 
18696	2	-21920.39610896	-21946.03031256	2 9 
18697	2	-21919.65642611	-21947.09653259	2 9 
18698	2	-21919.65642611	-21947.09653259	2 9 
18699	2	-21921.49127797	-21947.07168879	2 9 
18700	1	-21923.49990312	-21947.36901519	9 
18701	1	-21923.98159744	-21947.73229741	9 
18702	1	-21923.63603998	-21947.30282928	9 
18703	1	-21923.80440222	-21947.42730106	9 
18704	1	-21923.25339705	-21948.0691978	9 
18705	1	-21923.54314967	-21947.3285089	9 
18706	2	-21920.70743865	-21946.12016936	2 9 
18707	2	-21920.70743865	-21946.12016936	2 9 
18708	2	-21921.20441755	-21946.63411395	2 9 
18709	2	-21921.20441755	-21946.63411395	2 9 
18710	2	-21923.12819997	-21948.55789638	4 9 
18711	2	-21923.12819997	-21948.55789638	4 9 
18712	2	-21922.96367517	-21948.34799221	4 9 
18713	2	-21922.96367517	-21948.34799221	4 9 
18714	2	-21922.96367517	-21948.34799221	4 9 
18715	2	-21922.91771991	-21948.29568283	4 9 
18716	2	-21920.99411034	-21946.37207326	2 9 
18717	2	-21919.98794075	-21946.33174133	2 9 
18718	2	-21920.31597327	-21946.04651629	2 9 
18719	2	-21920.31597327	-21946.04651629	2 9 
18720	2	-21920.31597327	-21946.04651629	2 9 
18721	2	-21920.31597327	-21946.04651629	2 9 
18722	2	-21920.45507586	-21946.02962047	2 9 
18723	3	-21924.48216129	-21951.41463944	2 9 13 
18724	3	-21923.8262268	-21950.80704757	2 9 13 
18725	2	-21925.31282399	-21950.79617301	9 12 
18726	3	-21923.07042398	-21950.09421803	2 9 10 
18727	2	-21920.56980695	-21946.05315597	2 9 
18728	2	-21920.64791019	-21946.0863468	2 9 
18729	2	-21920.65136372	-21946.08811337	2 9 
18730	2	-21920.65136372	-21946.08811337	2 9 
18731	2	-21920.53684978	-21946.0431992	2 9 
18732	2	-21920.53684978	-21946.0431992	2 9 
18733	1	-21923.77356265	-21947.39062256	9 
18734	1	-21923.76284669	-21947.37920302	9 
18735	1	-21923.65661872	-21947.30720646	9 
18736	1	-21923.65661872	-21947.30720646	9 
18737	1	-21923.65661872	-21947.30720646	9 
18738	2	-21920.71929421	-21946.12773987	2 9 
18739	2	-21920.71929421	-21946.12773987	2 9 
18740	2	-21920.71929421	-21946.12773987	2 9 
18741	2	-21920.71929421	-21946.12773987	2 9 
18742	2	-21920.71929421	-21946.12773987	2 9 
18743	2	-21920.71929421	-21946.12773987	2 9 
18744	2	-21920.71929421	-21946.12773987	2 9 
18745	2	-21920.71929421	-21946.12773987	2 9 
18746	2	-21920.71929421	-21946.12773987	2 9 
18747	2	-21920.73265062	-21946.13659086	2 9 
18748	2	-21920.73265062	-21946.13659086	2 9 
18749	2	-21920.73265062	-21946.13659086	2 9 
18750	2	-21920.73265062	-21946.13659086	2 9 
18751	2	-21921.07561554	-21946.47955579	1 9 
18752	2	-21920.80461816	-21946.18995711	2 9 
18753	2	-21920.80461816	-21946.18995711	2 9 
18754	2	-21921.15690668	-21946.54051603	1 9 
18755	2	-21921.15690668	-21946.54051603	1 9 
18756	2	-21920.95780959	-21946.41364375	1 9 
18757	1	-21923.98952755	-21947.74916573	9 
18758	2	-21921.73213749	-21947.24963359	1 9 
18759	1	-21923.34351988	-21947.70533008	9 
18760	1	-21923.42081444	-21947.49832152	9 
18761	2	-21920.58547033	-21946.42083533	1 9 
18762	2	-21920.58547033	-21946.42083533	1 9 
18763	2	-21920.58547033	-21946.42083533	1 9 
18764	2	-21920.58547033	-21946.42083533	1 9 
18765	1	-21923.83907929	-21947.4749463	9 
18766	2	-21921.4297445	-21946.82346943	1 9 
18767	2	-21920.41005434	-21946.56908938	1 9 
18768	1	-21923.33443569	-21947.73561281	9 
18769	2	-21920.41005434	-21946.56908938	1 9 
18770	2	-21920.41005434	-21946.56908938	1 9 
18771	2	-21921.02200361	-21946.44610884	1 9 
18772	2	-21921.02200361	-21946.44610884	1 9 
18773	2	-21920.48293629	-21946.49415323	1 9 
18774	2	-21921.07586096	-21946.4797216	1 9 
18775	2	-21921.07586096	-21946.4797216	1 9 
18776	2	-21921.07586096	-21946.4797216	1 9 
18777	2	-21920.95636477	-21946.41301228	1 9 
18778	2	-21920.95636477	-21946.41301228	1 9 
18779	2	-21920.95636477	-21946.41301228	1 9 
18780	2	-21921.2072002	-21946.5840202	1 9 
18781	2	-21921.2072002	-21946.5840202	1 9 
18782	2	-21921.28517936	-21946.74888221	2 9 
18783	2	-21921.62823418	-21947.09193703	1 9 
18784	2	-21920.84723476	-21946.22587168	2 9 
18785	2	-21920.83071798	-21946.21158475	2 9 
18786	3	-21924.11374419	-21951.035056	1 9 10 
18787	3	-21924.56717252	-21951.61604701	2 8 9 
18788	2	-21921.37291236	-21946.88134181	2 9 
18789	1	-21923.60828026	-21947.30242888	9 
18790	2	-21924.36380261	-21949.81580914	3 9 
18791	1	-21923.60828026	-21947.30242888	9 
18792	1	-21923.60828026	-21947.30242888	9 
18793	1	-21923.60828026	-21947.30242888	9 
18794	1	-21923.39584632	-21947.5557535	9 
18795	2	-21922.19499575	-21947.98586452	4 9 
18796	1	-21923.43547981	-21947.46849067	9 
18797	1	-21923.48619337	-21947.38608998	9 
18798	2	-21920.71793362	-21946.37568815	1 9 
18799	2	-21920.71793362	-21946.37568815	1 9 
18800	2	-21921.32527027	-21946.70207681	1 9 
18801	2	-21920.81051695	-21946.37353451	1 9 
18802	2	-21921.20274304	-21946.57999394	1 9 
18803	2	-21921.20274304	-21946.57999394	1 9 
18804	2	-21921.20274304	-21946.57999394	1 9 
18805	2	-21921.20274304	-21946.57999394	1 9 
18806	2	-21921.20274304	-21946.57999394	1 9 
18807	2	-21920.60529275	-21946.41068432	1 9 
18808	2	-21920.60529275	-21946.41068432	1 9 
18809	2	-21920.60529275	-21946.41068432	1 9 
18810	2	-21920.60529275	-21946.41068432	1 9 
18811	2	-21920.60529275	-21946.41068432	1 9 
18812	2	-21920.60529275	-21946.41068432	1 9 
18813	2	-21920.24304161	-21946.82228392	1 9 
18814	2	-21920.40960581	-21946.56961324	1 9 
18815	2	-21920.84066511	-21946.37758532	1 9 
18816	2	-21920.84066511	-21946.37758532	1 9 
18817	2	-21920.84066511	-21946.37758532	1 9 
18818	2	-21920.84066511	-21946.37758532	1 9 
18819	2	-21920.48384023	-21946.49334742	1 9 
18820	2	-21920.48384023	-21946.49334742	1 9 
18821	2	-21920.48384023	-21946.49334742	1 9 
18822	2	-21920.48384023	-21946.49334742	1 9 
18823	2	-21920.48384023	-21946.49334742	1 9 
18824	2	-21920.6263852	-21946.40123957	1 9 
18825	2	-21920.6263852	-21946.40123957	1 9 
18826	2	-21920.6263852	-21946.40123957	1 9 
18827	2	-21920.59887375	-21946.41383484	1 9 
18828	2	-21920.15648773	-21947.00409708	1 9 
18829	2	-21920.15648773	-21947.00409708	1 9 
18830	2	-21920.71820276	-21946.37564853	1 9 
18831	2	-21920.71820276	-21946.37564853	1 9 
18832	2	-21920.71820276	-21946.37564853	1 9 
18833	3	-21926.45689651	-21953.65478732	3 9 14 
18834	1	-21923.48632632	-21947.38591418	9 
18835	3	-21923.33513722	-21950.53302803	2 9 12 
18836	3	-21923.76378263	-21950.7372215	2 9 12 
18837	3	-21923.76378263	-21950.7372215	2 9 12 
18838	3	-21923.84099476	-21950.79306182	2 9 12 
18839	2	-21920.7104353	-21946.12205731	2 9 
18840	2	-21920.7104353	-21946.12205731	2 9 
18841	2	-21920.7104353	-21946.12205731	2 9 
18842	2	-21920.7104353	-21946.12205731	2 9 
18843	2	-21920.7104353	-21946.12205731	2 9 
18844	2	-21920.70801123	-21946.12052876	2 9 
18845	2	-21920.83410433	-21946.2144764	2 9 
18846	2	-21920.91441814	-21946.28859862	2 9 
18847	2	-21922.45556099	-21948.58078137	1 9 
18848	1	-21924.35015593	-21948.7175184	9 
18849	2	-21922.45556099	-21948.58078137	1 9 
18850	2	-21922.45556099	-21948.58078137	1 9 
18851	2	-21920.78845723	-21946.37201166	1 9 
18852	2	-21920.78845723	-21946.37201166	1 9 
18853	2	-21920.18211603	-21946.94633672	1 9 
18854	1	-21923.22261082	-21948.2289736	9 
