Sweep	Model_size	log_marg	log_cond_post	Model
0	3	-21920.72548184	-21956.19618464		2 8 9 
1	3	-21920.72548184	-21956.19618464	2 8 9 
2	3	-21920.72548184	-21956.19618464	2 8 9 
3	3	-21923.46707256	-21950.44870601	2 8 9 
4	1	-21923.61848975	-21947.30182025	9 
5	2	-21920.76517937	-21946.15954564	2 9 
6	2	-21920.76517937	-21946.15954564	2 9 
7	2	-21920.76517937	-21946.15954564	2 9 
8	2	-21920.76517937	-21946.15954564	2 9 
9	2	-21920.66167451	-21946.09353333	2 9 
10	2	-21920.30912145	-21946.04876253	2 9 
11	2	-21921.11663167	-21946.51788018	2 9 
12	2	-21921.11663167	-21946.51788018	2 9 
13	2	-21922.2113961	-21948.09434946	1 9 
14	2	-21920.78319195	-21946.17309063	2 9 
15	2	-21920.65238177	-21946.08863882	2 9 
16	2	-21920.84505163	-21946.22395698	2 9 
17	2	-21920.84505163	-21946.22395698	2 9 
18	2	-21920.84505163	-21946.22395698	2 9 
19	2	-21920.16070627	-21946.13374319	2 9 
20	2	-21920.16070627	-21946.13374319	2 9 
21	2	-21920.16070627	-21946.13374319	2 9 
22	2	-21920.16070627	-21946.13374319	2 9 
23	2	-21920.2049134	-21946.10086453	2 9 
24	2	-21920.53729557	-21946.0433172	2 9 
25	4	-21925.95470037	-21954.35109376	2 6 9 14 
26	4	-21925.95470037	-21954.35109376	2 6 9 14 
27	4	-21926.71395582	-21954.97851325	2 6 9 14 
28	2	-21920.91402256	-21946.28820823	2 9 
29	2	-21921.06843463	-21946.4747545	1 9 
30	2	-21921.06843463	-21946.4747545	1 9 
31	2	-21920.82931361	-21946.21039126	2 9 
32	2	-21920.69262143	-21946.11109113	2 9 
33	2	-21922.61590814	-21948.03437785	4 9 
34	2	-21920.59803442	-21946.0636284	2 9 
35	2	-21922.52119732	-21947.9867913	4 9 
36	2	-21920.94096855	-21946.40656253	1 9 
37	1	-21923.50715132	-21947.36083418	9 
38	2	-21920.76034737	-21946.37188815	1 9 
39	2	-21920.24368833	-21946.82106387	1 9 
40	3	-21921.91227767	-21950.03009826	1 9 14 
41	2	-21920.24368833	-21946.82106387	1 9 
42	3	-21922.34561138	-21950.46343196	2 8 9 
43	3	-21922.6714207	-21950.30254907	1 8 9 
44	3	-21922.31799733	-21950.63110079	1 9 15 
45	4	-21924.53449178	-21954.19752196	2 6 9 14 
46	3	-21923.72169547	-21950.73346407	1 9 12 
47	2	-21921.15389728	-21946.53804932	1 9 
48	2	-21920.62510577	-21946.40177321	1 9 
49	2	-21920.62510577	-21946.40177321	1 9 
50	2	-21926.42302369	-21952.19969113	9 13 
51	2	-21920.62510577	-21946.40177321	1 9 
52	2	-21920.62510577	-21946.40177321	1 9 
53	2	-21921.51442481	-21946.93233406	1 9 
54	3	-21924.6904603	-21951.86434634	4 9 14 
55	2	-21920.73968838	-21946.37312939	1 9 
56	3	-21923.12077054	-21950.29465659	1 8 9 
57	3	-21924.16290005	-21951.3367861	1 4 9 
58	3	-21923.12077054	-21950.29465659	1 8 9 
59	3	-21924.12894879	-21951.32796165	1 4 9 
60	3	-21925.20375035	-21952.13795028	1 4 9 
61	3	-21922.97568692	-21950.65339973	1 9 10 
62	3	-21923.35640334	-21950.61055368	1 9 10 
63	3	-21923.49546296	-21950.62603314	1 9 12 
64	2	-21924.87033146	-21950.4604566	8 9 
65	3	-21924.96255123	-21952.0931214	4 8 9 
66	4	-21926.47843644	-21954.95893333	2 5 7 9 
67	2	-21926.01212025	-21951.60224538	9 15 
68	1	-21923.51769073	-21947.34995795	9 
69	2	-21924.93511746	-21950.5252426	5 9 
70	2	-21924.93511746	-21950.5252426	5 9 
71	2	-21921.50033901	-21949.2846321	4 9 
72	3	-21922.55308149	-21951.87781961	2 4 9 
73	1	-21923.803201	-21947.4257695	9 
74	2	-21926.58992038	-21951.9703468	9 15 
75	2	-21921.35755701	-21946.73798343	1 9 
76	2	-21921.35755701	-21946.73798343	1 9 
77	2	-21921.41914805	-21946.81048505	1 9 
78	2	-21921.41914805	-21946.81048505	1 9 
79	2	-21921.41914805	-21946.81048505	1 9 
80	2	-21922.99980287	-21948.39113986	4 9 
81	2	-21921.41914805	-21946.81048505	1 9 
82	2	-21921.41914805	-21946.81048505	1 9 
83	2	-21920.20584717	-21946.89584016	1 9 
84	2	-21921.08532279	-21946.4862007	1 9 
85	2	-21920.96319134	-21946.41603513	1 9 
86	2	-21920.96319134	-21946.41603513	1 9 
87	2	-21920.96319134	-21946.41603513	1 9 
88	2	-21921.43176385	-21946.82596042	1 9 
89	2	-21921.43176385	-21946.82596042	1 9 
90	2	-21920.46105221	-21946.51456804	1 9 
91	2	-21920.46105221	-21946.51456804	1 9 
92	2	-21920.44009316	-21946.53577928	1 9 
93	2	-21920.65996012	-21946.09261708	2 9 
94	2	-21921.00290895	-21946.43556591	1 9 
95	2	-21921.00290895	-21946.43556591	1 9 
96	2	-21920.65996012	-21946.09261708	2 9 
97	2	-21920.65996012	-21946.09261708	2 9 
98	2	-21920.70603909	-21946.11929357	2 9 
99	2	-21920.70603909	-21946.11929357	2 9 
100	2	-21920.70603909	-21946.11929357	2 9 
101	2	-21920.70603909	-21946.11929357	2 9 
102	2	-21920.66454164	-21946.09507903	2 9 
103	1	-21923.89915027	-21947.57215133	9 
104	1	-21923.89915027	-21947.57215133	9 
105	1	-21924.00643595	-21947.78592734	9 
106	1	-21924.00643595	-21947.78592734	9 
107	1	-21924.00643595	-21947.78592734	9 
108	1	-21923.78157038	-21947.39960962	9 
109	1	-21923.78157038	-21947.39960962	9 
110	2	-21922.8945983	-21948.27049546	4 9 
111	2	-21921.65081571	-21948.79763008	4 9 
112	2	-21922.36023537	-21947.95179317	4 9 
113	1	-21923.51696689	-21947.35066677	9 
114	2	-21925.02354067	-21950.49311381	8 9 
115	2	-21920.59145835	-21946.06103149	2 9 
116	2	-21922.51461218	-21947.98418533	4 9 
117	2	-21922.51461218	-21947.98418533	4 9 
118	2	-21922.43401665	-21947.96018925	4 9 
119	2	-21920.60987516	-21946.06854163	2 9 
120	2	-21920.60987516	-21946.06854163	2 9 
121	3	-21923.4180355	-21950.41714701	2 8 9 
122	3	-21923.21201571	-21950.21112721	2 9 15 
123	2	-21921.54088915	-21947.15510925	2 9 
124	2	-21920.94316427	-21946.31761253	2 9 
125	3	-21922.94186791	-21949.85678204	2 3 9 
126	3	-21922.11068653	-21949.33787504	2 3 9 
127	2	-21920.35054246	-21946.03728593	2 9 
128	2	-21920.38241127	-21946.03180298	2 9 
129	2	-21920.38241127	-21946.03180298	2 9 
130	2	-21920.52945224	-21946.04130883	2 9 
131	2	-21920.52945224	-21946.04130883	2 9 
132	1	-21923.56930435	-21947.31325294	9 
133	2	-21920.08967393	-21946.20116341	2 9 
134	2	-21920.08967393	-21946.20116341	2 9 
135	1	-21923.46090024	-21947.423286	9 
136	2	-21925.36535646	-21951.03887443	3 9 
137	2	-21925.36535646	-21951.03887443	3 9 
138	1	-21924.29114827	-21948.53735363	9 
139	2	-21922.33729036	-21948.34135362	1 9 
140	2	-21922.33729036	-21948.34135362	1 9 
141	2	-21922.33729036	-21948.34135362	1 9 
142	2	-21922.25122594	-21948.17155721	1 9 
143	2	-21921.2607187	-21946.63486534	1 9 
144	2	-21921.2607187	-21946.63486534	1 9 
145	2	-21921.86448118	-21947.46517691	1 9 
146	2	-21921.86448118	-21947.46517691	1 9 
147	2	-21921.72814654	-21947.24338036	1 9 
148	2	-21921.4220968	-21946.81408358	1 9 
149	2	-21921.0491246	-21946.46233166	1 9 
150	2	-21921.0491246	-21946.46233166	1 9 
151	2	-21921.64549458	-21947.11737692	1 9 
152	3	-21923.96427119	-21951.01078146	1 9 13 
153	2	-21920.88015499	-21946.38622022	1 9 
154	2	-21921.24135537	-21946.61594347	1 9 
155	2	-21920.59817732	-21946.41418449	1 9 
156	2	-21920.59817732	-21946.41418449	1 9 
157	4	-21924.38818996	-21953.09456889	2 3 9 15 
158	3	-21924.14238463	-21951.077932	1 7 9 
159	3	-21924.14238463	-21951.077932	1 7 9 
160	3	-21924.14238463	-21951.077932	1 7 9 
161	4	-21927.84992984	-21956.13540393	1 7 9 11 
162	2	-21921.10539222	-21946.50049454	1 9 
163	2	-21925.88564366	-21951.29389065	9 12 
164	2	-21921.48415716	-21946.89240415	1 9 
165	2	-21921.48415716	-21946.89240415	1 9 
166	2	-21921.10716058	-21946.50178952	1 9 
167	2	-21922.15747991	-21947.99130669	1 9 
168	2	-21922.15747991	-21947.99130669	1 9 
169	2	-21922.03235142	-21947.7591918	1 9 
170	2	-21921.02327082	-21946.44683445	1 9 
171	2	-21920.94976306	-21946.32445015	2 9 
172	2	-21921.11182251	-21946.51178468	2 9 
173	2	-21921.11182251	-21946.51178468	2 9 
174	2	-21920.33404206	-21946.04125797	2 9 
175	2	-21920.33404206	-21946.04125797	2 9 
176	2	-21920.33404206	-21946.04125797	2 9 
177	2	-21920.95821968	-21946.33330819	2 9 
178	2	-21920.82546565	-21946.2071383	2 9 
179	2	-21921.36315579	-21946.74435973	1 9 
180	2	-21925.84721974	-21951.63468725	9 15 
181	3	-21922.70585964	-21950.03377219	2 9 15 
182	2	-21920.61755697	-21946.40502448	1 9 
183	2	-21921.22786884	-21946.60311405	1 9 
184	2	-21921.22786884	-21946.60311405	1 9 
185	2	-21921.22786884	-21946.60311405	1 9 
186	3	-21925.14011812	-21952.05701608	1 5 9 
187	2	-21921.32115969	-21946.69761261	1 9 
188	2	-21922.90174339	-21948.2781963	4 9 
189	2	-21924.05518947	-21949.78819121	3 9 
190	3	-21923.8430974	-21950.8203615	1 9 10 
191	3	-21923.8430974	-21950.8203615	1 9 10 
192	3	-21923.69315197	-21950.72916709	1 9 10 
193	2	-21920.89477612	-21946.3903462	1 9 
194	2	-21920.89477612	-21946.3903462	1 9 
195	2	-21920.89477612	-21946.3903462	1 9 
196	2	-21921.43218755	-21946.9750765	2 9 
197	3	-21923.73999242	-21950.82332642	2 3 9 
198	3	-21925.41183815	-21952.52382249	1 6 9 
199	2	-21921.82080747	-21947.39234677	1 9 
200	2	-21923.40168968	-21948.97322898	4 9 
201	2	-21921.04476538	-21946.45962678	1 9 
202	2	-21921.04476538	-21946.45962678	1 9 
203	1	-21923.64794731	-21947.3049508	9 
204	1	-21923.843415	-21947.48135674	9 
205	2	-21921.43846585	-21946.83426551	1 9 
206	2	-21921.43846585	-21946.83426551	1 9 
207	1	-21923.843415	-21947.48135674	9 
208	1	-21923.843415	-21947.48135674	9 
209	2	-21921.43846585	-21946.83426551	1 9 
210	1	-21923.843415	-21947.48135674	9 
211	1	-21923.72137543	-21947.34184851	9 
212	1	-21923.46430968	-21947.41782947	9 
213	1	-21923.46430968	-21947.41782947	9 
214	1	-21923.48602247	-21947.38631626	9 
215	3	-21923.74962135	-21950.9482181	1 6 9 
216	1	-21923.3323472	-21947.74276476	9 
217	2	-21921.99376618	-21948.14357075	4 9 
218	2	-21922.30365683	-21947.95483633	4 9 
219	2	-21922.67018541	-21948.06971	4 9 
220	3	-21922.27952037	-21950.57790123	1 8 9 
221	3	-21922.82946299	-21950.26713732	1 8 9 
222	2	-21921.88594541	-21948.29063801	4 9 
223	2	-21920.30673324	-21946.71142584	1 9 
224	2	-21920.30673324	-21946.71142584	1 9 
225	2	-21920.30673324	-21946.71142584	1 9 
226	2	-21921.88594541	-21948.29063801	4 9 
227	2	-21920.25635364	-21946.07084447	2 9 
228	2	-21921.97566145	-21948.16496143	4 9 
229	2	-21920.05350709	-21946.24280707	2 9 
230	2	-21921.97566145	-21948.16496143	4 9 
231	2	-21920.05350709	-21946.24280707	2 9 
232	2	-21920.91269743	-21946.28690226	2 9 
233	2	-21920.91269743	-21946.28690226	2 9 
234	3	-21923.21819383	-21951.03240982	2 4 9 
235	3	-21922.04795753	-21950.18625129	2 9 10 
236	2	-21919.89395425	-21946.49180296	2 9 
237	2	-21919.92796906	-21946.42922569	2 9 
238	3	-21922.18066787	-21950.22236954	2 9 15 
239	2	-21919.92796906	-21946.42922569	2 9 
240	2	-21919.82966252	-21946.62539906	2 9 
241	2	-21921.27242108	-21946.73027894	2 9 
242	2	-21921.39869165	-21946.9217039	2 9 
243	2	-21921.39869165	-21946.9217039	2 9 
244	3	-21924.32668596	-21951.38009493	2 9 14 
245	2	-21921.38104917	-21946.89401311	2 9 
246	2	-21921.38104917	-21946.89401311	2 9 
247	2	-21920.69393186	-21946.11187668	2 9 
248	2	-21920.69393186	-21946.11187668	2 9 
249	2	-21920.69393186	-21946.11187668	2 9 
250	2	-21920.69393186	-21946.11187668	2 9 
251	2	-21920.69393186	-21946.11187668	2 9 
252	1	-21923.64404259	-21947.30412949	9 
253	2	-21920.69393186	-21946.11187668	2 9 
254	1	-21923.64404259	-21947.30412949	9 
255	1	-21923.86290203	-21947.5113619	9 
256	1	-21923.86290203	-21947.5113619	9 
257	1	-21923.86143111	-21947.50903002	9 
258	2	-21920.81731176	-21946.20032901	2 9 
259	3	-21922.81472595	-21949.73818823	2 3 9 
260	2	-21920.81731176	-21946.20032901	2 9 
261	3	-21924.26605653	-21951.18951882	1 2 9 
262	2	-21920.81731176	-21946.20032901	2 9 
263	2	-21920.81731176	-21946.20032901	2 9 
264	2	-21920.81731176	-21946.20032901	2 9 
265	2	-21921.16029397	-21946.54331122	1 9 
266	2	-21920.59851665	-21946.41401393	1 9 
267	3	-21923.93620877	-21951.2921511	1 3 9 
268	2	-21922.87527783	-21948.25004779	4 9 
269	2	-21922.82856192	-21948.20293131	4 9 
270	1	-21923.29681329	-21947.87574704	9 
271	1	-21924.13216154	-21948.08990974	9 
272	1	-21924.13216154	-21948.08990974	9 
273	1	-21924.13216154	-21948.08990974	9 
274	1	-21924.14399094	-21948.1210074	9 
275	1	-21923.92594303	-21947.62100752	9 
276	1	-21923.92594303	-21947.62100752	9 
277	1	-21923.92594303	-21947.62100752	9 
278	2	-21921.60439197	-21947.05731438	1 9 
279	2	-21920.78324668	-21946.37183351	1 9 
280	3	-21924.24777814	-21951.18779265	1 9 11 
281	2	-21921.08965044	-21946.4892199	1 9 
282	1	-21924.17482644	-21948.20386146	9 
283	1	-21923.20138242	-21948.35097825	9 
284	3	-21923.83547737	-21950.75543208	1 9 15 
285	3	-21922.83187713	-21950.31850367	1 9 15 
286	3	-21922.83187713	-21950.31850367	1 9 15 
287	2	-21923.18747989	-21948.64142249	4 9 
288	2	-21923.18747989	-21948.64142249	4 9 
289	3	-21924.47278406	-21951.4671717	1 9 15 
290	2	-21921.6067073	-21947.06064991	1 9 
291	1	-21923.73070368	-21947.34927344	9 
292	1	-21923.37453853	-21947.61171194	9 
293	1	-21923.79369461	-21947.41393875	9 
294	1	-21923.7051413	-21947.33033709	9 
295	2	-21924.58822947	-21949.96705623	3 9 
296	2	-21922.76914719	-21948.14797396	4 9 
297	1	-21923.46356479	-21947.41900963	9 
298	2	-21920.32925507	-21946.04255783	2 9 
299	2	-21920.32925507	-21946.04255783	2 9 
300	2	-21920.32925507	-21946.04255783	2 9 
301	3	-21923.26549066	-21950.51923846	2 9 12 
302	2	-21921.58969564	-21947.23912285	2 9 
303	2	-21921.58969564	-21947.23912285	2 9 
304	2	-21921.58969564	-21947.23912285	2 9 
305	2	-21920.17615084	-21946.12149015	2 9 
306	2	-21920.21535117	-21946.09407112	2 9 
307	2	-21920.08761236	-21946.20340081	2 9 
308	2	-21920.08761236	-21946.20340081	2 9 
309	2	-21921.3992709	-21946.92261805	2 9 
310	2	-21921.3992709	-21946.92261805	2 9 
311	2	-21921.48710789	-21947.06477099	2 9 
312	2	-21921.48710789	-21947.06477099	2 9 
313	1	-21924.03835402	-21947.8581592	9 
314	1	-21923.91781232	-21947.60584234	9 
315	1	-21923.72580498	-21947.34530163	9 
316	1	-21923.72580498	-21947.34530163	9 
317	2	-21921.20171857	-21946.57907313	1 9 
318	2	-21921.20171857	-21946.57907313	1 9 
319	2	-21920.85872844	-21946.236083	2 9 
320	2	-21920.85872844	-21946.236083	2 9 
321	2	-21920.85872844	-21946.236083	2 9 
322	2	-21920.24482585	-21946.0768255	2 9 
323	2	-21925.05734642	-21950.53489717	3 9 
324	2	-21921.31403131	-21946.79158206	2 9 
325	2	-21920.29055132	-21946.05555905	2 9 
326	2	-21920.07250071	-21946.22030099	2 9 
327	2	-21920.07250071	-21946.22030099	2 9 
328	2	-21920.1694313	-21946.12671866	2 9 
329	3	-21922.49999321	-21949.99772561	2 9 14 
330	2	-21927.66218357	-21953.04437638	7 9 
331	1	-21923.75720713	-21947.37347713	9 
332	2	-21920.13944978	-21946.15198629	2 9 
333	2	-21920.5852709	-21946.05867474	2 9 
334	2	-21920.92820188	-21946.40160573	1 9 
335	2	-21925.32834145	-21950.8017453	9 12 
336	2	-21924.91708904	-21950.86309638	9 12 
337	3	-21922.99949991	-21950.32524672	2 9 11 
338	2	-21920.93160914	-21946.40289361	1 9 
339	1	-21923.72059578	-21947.34125442	9 
340	2	-21921.52058106	-21946.94058983	1 9 
341	2	-21921.52058106	-21946.94058983	1 9 
342	2	-21921.52058106	-21946.94058983	1 9 
343	2	-21921.0494672	-21946.4625458	1 9 
344	2	-21920.38321584	-21946.60183692	1 9 
345	2	-21920.5489912	-21946.44283904	1 9 
346	2	-21920.50272943	-21946.47717789	1 9 
347	2	-21921.09098614	-21946.4857147	2 9 
348	2	-21920.98165788	-21946.35841122	2 9 
349	2	-21920.98165788	-21946.35841122	2 9 
350	2	-21920.98165788	-21946.35841122	2 9 
351	2	-21920.99283348	-21946.37066212	2 9 
352	2	-21920.99283348	-21946.37066212	2 9 
353	2	-21921.2535369	-21946.7030634	2 9 
354	2	-21921.2535369	-21946.7030634	2 9 
355	2	-21920.78311539	-21946.17303183	2 9 
356	2	-21921.1260908	-21946.51600724	1 9 
357	2	-21921.03209294	-21946.45197457	1 9 
358	2	-21926.59686822	-21951.98333367	9 14 
359	2	-21921.24310648	-21946.61763044	1 9 
360	2	-21921.26256563	-21946.63670071	1 9 
361	2	-21921.65190742	-21947.12690767	1 9 
362	2	-21921.11529388	-21946.51618163	2 9 
363	2	-21920.17641862	-21946.12128504	2 9 
364	2	-21920.88728119	-21946.2623878	2 9 
365	2	-21920.19367824	-21946.10858574	2 9 
366	2	-21920.19367824	-21946.10858574	2 9 
367	2	-21920.19367824	-21946.10858574	2 9 
368	2	-21920.19367824	-21946.10858574	2 9 
369	2	-21921.31190099	-21946.7883998	2 9 
370	2	-21921.13296076	-21946.53879311	2 9 
371	2	-21921.13296076	-21946.53879311	2 9 
372	3	-21923.28994458	-21950.23622197	2 3 9 
373	3	-21921.65823624	-21949.39273065	2 3 9 
374	2	-21921.05683269	-21946.44420161	2 9 
375	3	-21923.05985365	-21950.61763882	2 9 13 
376	2	-21921.03781295	-21946.42175693	2 9 
377	2	-21921.38083372	-21946.7647777	1 9 
378	2	-21921.66449518	-21947.14573841	1 9 
379	2	-21921.66449518	-21947.14573841	1 9 
380	2	-21921.66449518	-21947.14573841	1 9 
381	2	-21921.52219656	-21946.94276369	1 9 
382	2	-21921.17915529	-21946.59972243	2 9 
383	2	-21921.40349804	-21946.92929861	2 9 
384	2	-21920.40417616	-21946.0296737	2 9 
385	2	-21920.09379733	-21946.19673703	2 9 
386	2	-21920.59569466	-21946.06269359	2 9 
387	2	-21920.91056166	-21946.28480315	2 9 
388	2	-21920.91056166	-21946.28480315	2 9 
389	2	-21920.91056166	-21946.28480315	2 9 
390	3	-21924.938211	-21951.85289753	1 4 9 
391	2	-21920.91056166	-21946.28480315	2 9 
392	2	-21919.62565881	-21947.19907256	2 9 
393	2	-21920.39594106	-21946.03032772	2 9 
394	3	-21923.78631669	-21950.86239132	1 2 9 
395	3	-21923.78631669	-21950.86239132	1 2 9 
396	2	-21922.09687858	-21948.04523119	4 9 
397	2	-21924.76720831	-21950.47188004	8 9 
398	2	-21924.76720831	-21950.47188004	8 9 
399	3	-21923.02896457	-21950.27408135	1 8 9 
400	3	-21923.07448041	-21950.31959719	1 9 15 
401	3	-21923.6644083	-21950.61070456	1 9 15 
402	3	-21923.6644083	-21950.61070456	1 9 15 
403	2	-21921.22529516	-21946.60069879	1 9 
404	2	-21921.22529516	-21946.60069879	1 9 
405	2	-21921.22529516	-21946.60069879	1 9 
406	3	-21924.44742215	-21951.50780729	1 5 9 
407	3	-21923.30513991	-21950.36552505	1 8 9 
408	3	-21923.30513991	-21950.36552505	1 8 9 
409	3	-21923.64364983	-21950.92976983	1 6 9 
410	3	-21923.49210108	-21950.77822109	1 2 9 
411	3	-21923.04246715	-21950.32858716	2 9 11 
412	3	-21923.02697363	-21950.31309364	1 9 15 
413	2	-21920.64748451	-21946.39315947	1 9 
414	2	-21920.64748451	-21946.39315947	1 9 
415	3	-21923.38134171	-21950.29783392	1 9 14 
416	2	-21920.87323146	-21946.24927863	2 9 
417	2	-21920.87323146	-21946.24927863	2 9 
418	2	-21920.98187546	-21946.35864802	2 9 
419	2	-21921.32488726	-21946.70165981	1 9 
420	2	-21921.5189415	-21946.93838673	1 9 
421	2	-21920.46082228	-21946.51479186	1 9 
422	2	-21919.93873883	-21946.4105326	2 9 
423	2	-21920.5009423	-21946.47865338	1 9 
424	3	-21923.07104298	-21950.5891991	1 9 12 
425	3	-21922.41162261	-21951.12096281	1 9 12 
426	3	-21924.14362799	-21952.85296819	4 9 11 
427	3	-21923.9827483	-21950.91849371	1 9 12 
428	3	-21923.9827483	-21950.91849371	1 9 12 
429	2	-21920.1508833	-21947.01718442	1 9 
430	2	-21920.1508833	-21947.01718442	1 9 
431	2	-21920.1508833	-21947.01718442	1 9 
432	2	-21920.87720775	-21946.38544851	1 9 
433	2	-21920.87720775	-21946.38544851	1 9 
434	2	-21920.87720775	-21946.38544851	1 9 
435	2	-21922.45736211	-21947.96560287	4 9 
436	2	-21922.45736211	-21947.96560287	4 9 
437	2	-21922.95851953	-21948.34197802	4 9 
438	2	-21920.65654125	-21946.09080778	2 9 
439	2	-21920.99948929	-21946.43375582	1 9 
440	2	-21920.65654125	-21946.09080778	2 9 
441	2	-21920.65654125	-21946.09080778	2 9 
442	2	-21920.99948929	-21946.43375582	1 9 
443	2	-21920.08825919	-21946.20269706	2 9 
444	1	-21923.34475038	-21947.70133034	9 
445	1	-21924.2308132	-21948.36048559	9 
446	1	-21924.2308132	-21948.36048559	9 
447	1	-21924.2308132	-21948.36048559	9 
448	1	-21924.2308132	-21948.36048559	9 
449	2	-21923.79735711	-21949.68488742	4 9 
450	2	-21920.84378668	-21946.22285121	2 9 
451	2	-21920.73054491	-21946.13517298	2 9 
452	2	-21921.60293449	-21947.26223195	2 9 
453	2	-21920.8664889	-21946.24310106	2 9 
454	1	-21923.72965785	-21947.34841209	9 
455	1	-21923.72965785	-21947.34841209	9 
456	1	-21923.72895161	-21947.34783453	9 
457	1	-21923.72895161	-21947.34783453	9 
458	2	-21922.01633917	-21948.11867846	4 9 
459	1	-21923.86500858	-21947.51472022	9 
460	2	-21920.70301938	-21946.11741692	2 9 
461	3	-21924.81647889	-21951.90879861	4 9 14 
462	2	-21920.46457448	-21946.03035208	2 9 
463	2	-21920.46457448	-21946.03035208	2 9 
464	2	-21920.46457448	-21946.03035208	2 9 
465	3	-21924.34209873	-21951.40521628	1 4 9 
466	2	-21922.43844454	-21947.96111705	4 9 
467	2	-21922.43844454	-21947.96111705	4 9 
468	2	-21922.43844454	-21947.96111705	4 9 
469	2	-21922.43844454	-21947.96111705	4 9 
470	2	-21920.51540021	-21946.03807272	2 9 
471	2	-21920.51540021	-21946.03807272	2 9 
472	2	-21920.51540021	-21946.03807272	2 9 
473	2	-21921.21583211	-21946.6498949	2 9 
474	2	-21921.21583211	-21946.6498949	2 9 
475	2	-21921.49724955	-21947.08162094	2 9 
476	2	-21920.66855741	-21946.38642333	1 9 
477	2	-21920.42729383	-21946.02880804	2 9 
478	2	-21920.42729383	-21946.02880804	2 9 
479	2	-21920.77018216	-21946.37169638	1 9 
480	2	-21920.42729383	-21946.02880804	2 9 
481	2	-21920.42729383	-21946.02880804	2 9 
482	2	-21920.58942866	-21946.06024911	2 9 
483	1	-21923.52422773	-21947.34380798	9 
484	3	-21923.1073419	-21950.11564309	2 9 10 
485	2	-21920.37993995	-21946.03212674	2 9 
486	2	-21920.37993995	-21946.03212674	2 9 
487	2	-21920.90114656	-21946.2756348	2 9 
488	2	-21922.82466703	-21948.19915527	4 9 
489	2	-21922.75685009	-21948.13732343	4 9 
490	2	-21920.79435537	-21946.18177712	2 9 
491	2	-21919.81179238	-21946.66625632	2 9 
492	2	-21921.02524892	-21946.40720087	2 9 
493	2	-21921.02524892	-21946.40720087	2 9 
494	2	-21922.11280471	-21948.03342674	4 9 
495	2	-21920.19034019	-21946.11096222	2 9 
496	1	-21923.39502511	-21947.55778922	9 
497	1	-21923.39502511	-21947.55778922	9 
498	1	-21923.45130046	-21947.43941068	9 
499	1	-21923.45130046	-21947.43941068	9 
500	1	-21923.5366646	-21947.33333932	9 
501	3	-21922.9768908	-21950.24554007	2 8 9 
502	1	-21923.73282486	-21947.35104271	9 
503	2	-21921.1229716	-21946.52596031	2 9 
504	2	-21919.98391836	-21946.33778442	2 9 
505	3	-21924.1714295	-21951.08603959	2 9 12 
506	2	-21920.92968072	-21946.30384577	2 9 
507	2	-21920.58726536	-21946.0594252	2 9 
508	2	-21920.58726536	-21946.0594252	2 9 
509	3	-21923.13972361	-21950.15232849	2 6 9 
510	2	-21920.58726536	-21946.0594252	2 9 
511	2	-21920.58726536	-21946.0594252	2 9 
512	2	-21920.58726536	-21946.0594252	2 9 
513	2	-21921.36723993	-21946.87254595	2 9 
514	2	-21921.36723993	-21946.87254595	2 9 
515	2	-21922.65441771	-21948.05886888	4 9 
516	2	-21922.65441771	-21948.05886888	4 9 
517	2	-21922.65441771	-21948.05886888	4 9 
518	3	-21923.5891708	-21950.53406701	2 7 9 
519	3	-21923.5891708	-21950.53406701	2 7 9 
520	3	-21923.47152926	-21950.39576311	2 9 14 
521	2	-21920.78968491	-21946.178116	2 9 
522	2	-21920.78968491	-21946.178116	2 9 
523	2	-21920.78968491	-21946.178116	2 9 
524	2	-21920.13333005	-21946.15753943	2 9 
525	1	-21923.36693746	-21947.63328892	9 
526	2	-21920.19992478	-21946.10424026	2 9 
527	2	-21920.52502477	-21946.04023884	2 9 
528	2	-21920.98751912	-21946.36481398	2 9 
529	2	-21921.11310054	-21946.51340171	2 9 
530	2	-21921.11310054	-21946.51340171	2 9 
531	2	-21921.11310054	-21946.51340171	2 9 
532	2	-21919.82960148	-21946.62553578	2 9 
533	2	-21919.82960148	-21946.62553578	2 9 
534	2	-21919.82960148	-21946.62553578	2 9 
535	2	-21919.82960148	-21946.62553578	2 9 
536	1	-21923.21778097	-21948.25585736	9 
537	1	-21923.21778097	-21948.25585736	9 
538	3	-21921.32196483	-21949.65834418	2 3 9 
539	3	-21920.84599187	-21950.48312973	2 3 9 
540	2	-21919.85928075	-21947.95597357	1 9 
541	2	-21919.85928075	-21947.95597357	1 9 
542	2	-21919.95602038	-21946.38163608	2 9 
543	2	-21920.29872998	-21946.72434568	1 9 
544	2	-21920.29872998	-21946.72434568	1 9 
545	2	-21920.27174877	-21946.77001776	1 9 
546	1	-21923.26652083	-21948.0069319	9 
547	2	-21923.18128862	-21948.63251772	4 9 
548	1	-21923.86966671	-21947.52222438	9 
549	2	-21921.55660791	-21947.18196089	2 9 
550	2	-21921.56919937	-21947.20361251	2 9 
551	2	-21921.56919937	-21947.20361251	2 9 
552	2	-21921.33821488	-21946.82803061	2 9 
553	2	-21920.47016801	-21946.03088942	2 9 
554	2	-21920.56100592	-21946.05025449	2 9 
555	2	-21920.56100592	-21946.05025449	2 9 
556	2	-21920.59769866	-21946.06349352	2 9 
